Date,Open,High,Low,Close,Adj Close,Volume
16/5/2017,38.985001,39.014999,38.68,38.8675,37.067619,80194000
17/5/2017,38.400002,38.642502,37.427502,37.5625,35.823048,203070800
18/5/2017,37.817501,38.334999,37.782501,38.134998,36.369038,134272800
19/5/2017,38.345001,38.494999,38.157501,38.264999,36.493019,107843200
22/5/2017,38.5,38.645,38.227501,38.497501,36.714752,91865600
23/5/2017,38.724998,38.724998,38.327499,38.450001,36.669449,79675600
24/5/2017,38.459999,38.5425,38.1675,38.334999,36.559772,76712000
25/5/2017,38.432499,38.587502,38.2575,38.467499,36.686138,76942400
26/5/2017,38.5,38.560001,38.327499,38.4025,36.624149,87710400
30/5/2017,38.355,38.607498,38.3325,38.4175,36.638451,80507600
31/5/2017,38.4925,38.5425,38.095001,38.189999,36.42149,97804800
1/6/2017,38.2925,38.3325,38.055,38.294998,36.521626,65616400
2/6/2017,38.395,38.862499,38.2225,38.862499,37.062847,111082800
5/6/2017,38.584999,38.612499,38.365002,38.482498,36.700447,101326800
6/6/2017,38.474998,38.952499,38.445,38.612499,36.824417,106499600
7/6/2017,38.755001,38.994999,38.619999,38.842499,37.04377,84278400
8/6/2017,38.8125,38.884998,38.599998,38.747501,36.953171,85003200
9/6/2017,38.797501,38.797501,36.505001,37.244999,35.520245,259530800
12/6/2017,36.435001,36.522499,35.627499,36.355,34.671463,289229200
13/6/2017,36.790001,36.862499,36.287498,36.647499,34.95042,136661600
14/6/2017,36.875,36.875,35.959999,36.290001,34.609474,126124800
15/6/2017,35.830002,36.119999,35.552502,36.072498,34.402042,128661600
16/6/2017,35.945,36.125,35.549999,35.567501,33.920437,201444400
19/6/2017,35.915001,36.685001,35.915001,36.584999,34.890816,130165600
20/6/2017,36.717499,36.717499,36.235001,36.252499,34.573723,99600400
21/6/2017,36.380001,36.517502,36.1525,36.467499,34.778755,85063200
22/6/2017,36.442501,36.674999,36.279999,36.407501,34.721539,76425200
23/6/2017,36.282501,36.790001,36.2775,36.57,34.876507,141757600
26/6/2017,36.7925,37.07,36.345001,36.455002,34.766838,102769600
27/6/2017,36.252499,36.540001,35.904999,35.932499,34.268524,99047600
28/6/2017,36.122501,36.5275,35.790001,36.4575,34.769218,88329600
29/6/2017,36.177502,36.282501,35.57,35.919998,34.256607,125997600
30/6/2017,36.112499,36.240002,35.945,36.005001,34.337669,92096400
3/7/2017,36.220001,36.325001,35.775002,35.875,34.213696,57111200
5/7/2017,35.922501,36.197498,35.68,36.022499,34.354362,86278400
6/7/2017,35.755001,35.875,35.602501,35.682499,34.030106,96515200
